"Story","Title","Result","Date","Stability","Duration (s)"
"Request/Issue mDL","Register personal data and view driving license","SUCCESS","2024-10-08T15:43:59.562297+03:00[Europe/Athens]","0.0","105.07"
"Request/Issue PID","User successfully logs in and sees the dashboard","SUCCESS","2024-10-08T15:45:44.637043+03:00[Europe/Athens]","0.0","38.23"
"Request/Issue PID","Add document via national ID","SUCCESS","2024-10-08T15:46:22.878555+03:00[Europe/Athens]","0.0","34.31"
"Request/Issue PID","Select authentication method and enter data","SUCCESS","2024-10-08T15:46:57.199779+03:00[Europe/Athens]","0.0","44.94"
"Request/Issue PID","Enter data and display national ID","SUCCESS","2024-10-08T15:47:42.148454+03:00[Europe/Athens]","0.0","83.03"
"Selective Disclosure","View Requested Data from Verifier","SUCCESS","2024-10-08T15:49:05.196042+03:00[Europe/Athens]","0.0","63.47"
"Selective Disclosure","View Actual Values of Requested Data","SUCCESS","2024-10-08T15:50:08.67864+03:00[Europe/Athens]","0.0","64.2"
"Selective Disclosure","Expand Verification Section","SUCCESS","2024-10-08T15:51:12.887016+03:00[Europe/Athens]","0.0","65.99"
"Selective Disclosure","Unselect Some Data","SUCCESS","2024-10-08T15:52:18.890666+03:00[Europe/Athens]","0.0","65.38"
"Selective Disclosure","Initiate Sharing Process","SUCCESS","2024-10-08T15:53:24.281148+03:00[Europe/Athens]","0.0","66.69"
"Selective Disclosure","Enter PIN Correctly for Data Sharing","SUCCESS","2024-10-08T15:54:30.985761+03:00[Europe/Athens]","0.0","74.01"
"Dashboard display","User successfully logs in and sees the dashboard","SUCCESS","2024-10-08T15:55:45.017259+03:00[Europe/Athens]","0.0","39.11"
"Dashboard display","User views issued documents on the dashboard","SUCCESS","2024-10-08T15:56:24.135826+03:00[Europe/Athens]","0.0","39.21"
"View mDL document","User successfully logs in and sees the dashboard","SUCCESS","2024-10-08T15:57:03.358546+03:00[Europe/Athens]","0.0","38.31"
"View mDL document","User opens the mDL document from the dashboard","SUCCESS","2024-10-08T15:57:41.677585+03:00[Europe/Athens]","0.0","41.03"
"View mDL document","User closes the mDL document and returns to the dashboard","SUCCESS","2024-10-08T15:58:22.718206+03:00[Europe/Athens]","0.0","43.33"
"View PID document","User successfully logs in and sees the dashboard","SUCCESS","2024-10-08T15:59:06.06581+03:00[Europe/Athens]","0.0","39.28"
"View PID document","User opens the PID document from the dashboard","SUCCESS","2024-10-08T15:59:45.352678+03:00[Europe/Athens]","0.0","41.15"
"View PID document","User closes the PID document and returns to the dashboard","SUCCESS","2024-10-08T16:00:26.517955+03:00[Europe/Athens]","0.0","43.54"
